ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
46605
ITEM: BOX BOUNDS pp pp ff
0.0000000000000000e+00 7.5204971283511398e+01
0.0000000000000000e+00 7.6781222183235400e+01
0.0000000000000000e+00 1.2000000000000000e+02
ITEM: ATOMS id type c_pot c_ket
329 3 -7.63685 0.00761035
326 3 -9.30362 0.0147295
762 1 -10.5534 0.0382208
730 1 -8.59523 0.162616
336 3 -11.5659 0.020804
763 1 -9.33115 0.0363708
778 3 -7.77362 0.0550631
767 2 -35.3019 0.0165833
779 3 -8.5346 0.0874397
775 3 -9.15062 0.00667112
335 3 -8.63634 0.0215436
325 3 -6.68567 0.015115
772 3 -8.78798 0.152992
323 3 -7.04432 0.0320227
327 3 -9.12709 0.00759229
757 1 -4.0863 0.042081
783 3 -8.25809 0.0404775
309 1 -3.23557 0.0259823
283 1 -4.6617 0.0960008
341 1 -11.7753 0.146921
338 1 -9.77051 0.0717388
340 1 -10.0904 0.00296382
342 1 -12.5379 0.0367082
343 1 -9.65847 0.0362953
344 1 -9.49882 0.0284273
345 2 -38.1119 0.043833
347 2 -38.0111 0.0829647
348 2 -41.4284 0.0188757
349 3 -9.00778 0.00371142
350 3 -8.04929 0.0150909
351 3 -3.45339 0.0356662
352 3 -6.86848 0.0269906
353 3 -4.79965 0.00761406
354 3 -6.51364 0.0373715
355 3 -8.38704 0.00841641
356 3 -7.56815 0.0419385
357 3 -6.39639 0.0128653
358 3 -1.93057 0.0367642
359 3 -7.97909 0.0358244
361 3 -8.31977 0.0234211
363 3 -7.41526 0.0137829
364 3 -4.51749 0.040516
786 1 -10.6894 0.0380377
790 1 -13.8597 0.0313334
791 1 -10.0945 0.0113804
795 2 -38.8056 0.0505907
800 3 -6.27767 0.0151637
803 3 -8.73257 0.00497856
806 3 -0.343902 0.014769
807 3 -7.43989 0.037088
811 3 -6.32812 0.00471894
366 1 -9.70827 0.0207211
368 1 -9.4559 0.014656
369 1 -12.9744 0.0293152
370 1 -11.4791 0.00418072
371 1 -9.34118 0.0138009
372 1 -9.43518 0.0788479
373 2 -34.815 0.0116236
375 2 -39.1596 0.0250237
376 2 -32.6455 0.125612
377 3 -8.84002 0.0281311
378 3 -8.91968 0.0290728
379 3 -9.4916 0.00193005
380 3 -7.04394 0.0212945
381 3 -8.65083 0.00310801
382 3 -6.07462 0.0737422
383 3 -8.83589 0.0367558
384 3 -8.80033 0.0620058
385 3 -8.63727 0.00671794
386 3 -3.63635 0.0410829
387 3 -7.64641 0.0514511
389 3 -8.28371 0.00660733
391 3 -8.77712 0.0231278
392 3 -5.21868 0.0570387
814 1 -9.57056 0.0112837
818 1 -11.8732 0.0276656
819 1 -9.24021 0.0103894
823 2 -40.8071 0.0775909
828 3 -5.97681 0.00857876
831 3 -8.62558 0.0485314
834 3 -1.04733 0.0329803
835 3 -7.43775 0.00967895
839 3 -8.18913 0.0307215
365 1 -9.09184 0.00591766
396 1 -8.48029 0.0220809
394 1 -9.26779 0.0387584
397 1 -8.6617 0.057641
406 3 -9.30044 0.0558764
400 1 -8.58623 0.028648
3 1 -3.51753 0.00353744
401 2 -33.8122 0.00936013
408 3 -7.43716 0.0544626
409 3 -8.96337 0.0282049
399 1 -8.85462 0.156178
411 3 -8.96258 0.0546418
412 3 -9.79754 0.000291942
407 3 -11.6606 0.0307231
413 3 -9.44727 0.0358773
415 3 -8.65496 0.0712302
403 2 -36.1083 0.0480763
420 3 -12.334 0.00118316
398 1 -10.5163 0.00861266
846 1 -7.78171 0.0215745
419 3 -8.9989 0.00924982
405 3 -9.27318 0.0675356
417 3 -9.90333 0.0356253
847 1 -8.59499 0.013125
859 3 -9.58485 0.0517415
410 3 -8.49782 0.0242892
842 1 -7.85022 0.0327623
856 3 -9.08573 0.0164492
851 2 -35.9127 0.00626462
414 3 -5.30586 0.0590233
867 3 -10.2661 0.050311
426 1 -8.38453 0.0641558
429 2 -35.6112 0.0315412
424 1 -8.03477 0.0351323
422 1 -8.2411 0.0249833
863 3 -9.11033 0.0564602
428 1 -8.84571 0.00984198
435 3 -10.3925 0.0213183
436 3 -8.77667 0.0457311
425 1 -8.40209 0.054363
431 2 -35.3474 0.00741502
438 3 -9.19623 0.0218594
404 2 -28.1081 0.024183
434 3 -8.87609 0.0472896
447 3 -10.1239 0.030814
874 1 -9.26482 0.0277983
440 3 -8.79233 0.00278525
